time,open,high,low,close,volume,spread
2025-10-15T00:00:00Z,4187.233,4212.518,4164.735,4200.863,24.37,0.724
2025-10-16T00:00:00Z,4239.557,4379.353,4222.381,4365.814,27.61,0.694
2025-10-17T00:00:00Z,4342.545,4366.905,4218.117,4235.744,29.22,0.753
2025-10-20T00:00:00Z,4249.475,4380.186,4229.51,4356.14,30.42,0.734
2025-10-21T00:00:00Z,4351.075,4355.462,4114.039,4123.3,35.17,0.764
2025-10-22T00:00:00Z,4128.726,4133.548,4014.98,4098.595,25.59,0.838
2025-10-23T00:00:00Z,4073.221,4154.795,4072.02,4118.39,29.05,0.758
2025-10-24T00:00:00Z,4121.765,4135.095,4054.472,4112.38,19.51,0.675
2025-10-26T00:00:00Z,4081.945,4088.6,4061.78,4064.62,3.06,1.001
2025-10-27T00:00:00Z,4068.72,4070.494,3979.854,3989.935,24.44,0.752
2025-10-28T00:00:00Z,4006.865,4019.789,3912.356,3962.435,22.14,0.663
2025-10-29T00:00:00Z,3978.395,4029.695,3939.65,3952.905,18.99,0.756
2025-10-30T00:00:00Z,3948.025,4046.46,3921.93,4037.88,24.59,0.719
2025-10-31T00:00:00Z,4011.145,4036.318,3991.335,4002.453,16.59,0.766
2025-11-03T00:00:00Z,3970.775,4030.76,3965.68,4010.405,38.01,0.716
2025-11-04T00:00:00Z,3994.595,3997.72,3930.545,3932.44,14.15,0.604
2025-11-05T00:00:00Z,3948.595,3990.22,3947.615,3984.545,16.34,0.583
2025-11-06T00:00:00Z,3987.801,4019.508,3976.829,3977.245,15.1,0.68
2025-11-07T00:00:00Z,3995.05,4009.645,3984.13,4000.945,14.18,0.605
2025-11-10T00:00:00Z,4011.945,4102.795,4011.215,4102.65,11.42,0.549
2025-11-11T00:00:00Z,4120.258,4149.06,4105.227,4129.52,14.06,0.548
2025-11-12T00:00:00Z,4131.53,4211.813,4113.435,4191.305,21.91,0.628
2025-11-13T00:00:00Z,4209.44,4232.41,4193.305,4201.868,18.94,0.648
2025-11-14T00:00:00Z,4204.465,4205.83,4032.255,4098.125,23.2,0.624
2025-11-17T00:00:00Z,4091.16,4093.835,4006.968,4041.11,27.52,0.616
2025-11-18T00:00:00Z,4013.39,4081.95,4004.745,4081.22,13.64,0.56
2025-11-19T00:00:00Z,4069.45,4119.935,4056.465,4077.24,17.62,0.566
2025-11-20T00:00:00Z,4066.77,4098.815,4055.774,4079.165,18.23,0.771
2025-11-21T00:00:00Z,4056.27,4101.132,4024.881,4064.935,27.92,0.748
2025-11-24T00:00:00Z,4075.175,4125.94,4042.765,4120.58,23.61,0.665
2025-11-25T00:00:00Z,4143.666,4152.115,4115.985,4133.88,22.88,0.7
2025-11-26T00:00:00Z,4162.08,4169.588,4140.227,4162.998,17.65,0.67
2025-11-27T00:00:00Z,4160.255,4167.175,4149.2,4158.13,8.94,0.621
2025-11-28T00:00:00Z,4191.205,4221.995,4168.791,4219.272,12.76,0.903
2025-12-01T00:00:00Z,4242.84,4264.67,4224.52,4227.606,20.13,0.68
2025-12-02T00:00:00Z,4218.78,4225.625,4163.771,4184.98,19.24,0.583
2025-12-03T00:00:00Z,4221.195,4225.489,4196.985,4207.388,13.37,0.634
